日付,曜日,週末,祝祭日,特別連休,特別連休＆隣接休日,連休○日目,○日連休,祝祭日名,特別連休名,特別連休名（隣接含）,翌日が休日
2018/10/31,水,0,0,0,0,0,0,,,,0
2018/11/01,木,0,0,0,0,0,0,,,,0
2018/11/02,金,0,0,0,0,0,0,,,,2
2018/11/03,土,1,1,0,0,1,2,文化の日,,,1
2018/11/04,日,1,0,0,0,2,2,,,,0
2018/11/05,月,0,0,0,0,0,0,,,,0
2018/11/06,火,0,0,0,0,0,0,,,,0
2018/11/07,水,0,0,0,0,0,0,,,,0
2018/11/08,木,0,0,0,0,0,0,,,,0
2018/11/09,金,0,0,0,0,0,0,,,,1
2018/11/10,土,1,0,0,0,1,2,,,,1
2018/11/11,日,1,0,0,0,2,2,,,,0
2018/11/12,月,0,0,0,0,0,0,,,,0
2018/11/13,火,0,0,0,0,0,0,,,,0
2018/11/14,水,0,0,0,0,0,0,,,,0
2018/11/15,木,0,0,0,0,0,0,,,,0
2018/11/16,金,0,0,0,0,0,0,,,,1
2018/11/17,土,1,0,0,0,1,2,,,,1
2018/11/18,日,1,0,0,0,2,2,,,,0
2018/11/19,月,0,0,0,0,0,0,,,,0
2018/11/20,火,0,0,0,0,0,0,,,,0
2018/11/21,水,0,0,0,0,0,0,,,,0
2018/11/22,木,0,0,0,0,0,0,,,,2
2018/11/23,金,0,1,0,0,1,3,勤労感謝の日,,,1
2018/11/24,土,1,0,0,0,2,3,,,,1
2018/11/25,日,1,0,0,0,3,3,,,,0
2018/11/26,月,0,0,0,0,0,0,,,,0
2018/11/27,火,0,0,0,0,0,0,,,,0
2018/11/28,水,0,0,0,0,0,0,,,,0
2018/11/29,木,0,0,0,0,0,0,,,,0
2018/11/30,金,0,0,0,0,0,0,,,,1
2018/12/01,土,1,0,0,0,1,2,,,,1
2018/12/02,日,1,0,0,0,2,2,,,,0
2018/12/03,月,0,0,0,0,0,0,,,,0
2018/12/04,火,0,0,0,0,0,0,,,,0
2018/12/05,水,0,0,0,0,0,0,,,,0
2018/12/06,木,0,0,0,0,0,0,,,,0
2018/12/07,金,0,0,0,0,0,0,,,,1
2018/12/08,土,1,0,0,0,1,2,,,,1
2018/12/09,日,1,0,0,0,2,2,,,,0
2018/12/10,月,0,0,0,0,0,0,,,,0
2018/12/11,火,0,0,0,0,0,0,,,,0
2018/12/12,水,0,0,0,0,0,0,,,,0
2018/12/13,木,0,0,0,0,0,0,,,,0
2018/12/14,金,0,0,0,0,0,0,,,,1
2018/12/15,土,1,0,0,0,1,2,,,,1
2018/12/16,日,1,0,0,0,2,2,,,,0
2018/12/17,月,0,0,0,0,0,0,,,,0
2018/12/18,火,0,0,0,0,0,0,,,,0
2018/12/19,水,0,0,0,0,0,0,,,,0
2018/12/20,木,0,0,0,0,0,0,,,,0
2018/12/21,金,0,0,0,0,0,0,,,,1
2018/12/22,土,1,0,0,0,1,3,,,,2
2018/12/23,日,1,1,0,0,2,3,天皇誕生日,,,2
2018/12/24,月,0,1,0,0,3,3,●振替（12/23）,,,0
2018/12/25,火,0,0,0,0,0,0,,,,0
2018/12/26,水,0,0,0,0,0,0,,,,0
2018/12/27,木,0,0,0,0,0,0,,,,3
2018/12/28,金,0,0,1,1,1,7,,年末年始,年末年始,3
2018/12/29,土,1,0,1,1,2,7,,年末年始,年末年始,3
2018/12/30,日,1,0,1,1,3,7,,年末年始,年末年始,3
2018/12/31,月,0,0,1,1,4,7,,年末年始,年末年始,3
